k,silhouette_3,calinski_3,davies_3,silhouette_4,calinski_4,davies_4,silhouette_5,calinski_5,davies_5,silhouette_6,calinski_6,davies_6,silhouette_7,calinski_7,davies_7,silhouette_8,calinski_8,davies_8
3,0.18393683,293.2713084901972,1.5642701827495882,0.17517224,262.68675655954235,1.5824543949640366,0.17219314,240.0208383378096,1.5955138059081801,0.1566301,220.58327932693376,1.5822960246479332,0.16102536,206.46699184754107,1.5982553534082498,0.16071409,196.96048655326612,1.5746751593580997
4,0.1729047,262.9172527488681,1.6572942886499593,0.15868187,230.44570337815205,1.7531647211072434,0.1607038,211.21254700523878,1.709245930849685,0.15725082,194.0268919380739,1.7934696511814767,0.1530116,182.07092695577057,1.7124066985972928,0.15125628,169.45207175866955,1.6960602583859221
5,0.16905774,227.12471358906345,1.7730039649438665,0.16083743,196.17569519716645,1.9171843669754038,0.15846477,185.9395849088862,1.77948679603447,0.1508344,174.16489336213323,1.7792292281652529,0.15352462,162.38646458262897,1.7331095340775273,0.16348517,153.23845299743505,1.7241649492885573
6,0.17416756,190.5645518346041,1.837803973005285,0.16107477,176.70670733552925,1.7597849603367395,0.1880405,174.15260382905342,1.649544993672329,0.17501408,165.163566435893,1.7096938366013428,0.18549876,158.72287098621246,1.6708639410044843,0.19830012,152.45137575841446,1.6119470361179935
7,0.20946921,202.87324798167197,1.780961228916361,0.2259501,190.96471908851015,1.6300520301185468,0.20917702,186.47201996068088,1.567997640876794,0.21803667,173.12518339165064,1.6081720690283863,0.19670613,163.12340034873628,1.7269733284896556,0.21746562,160.76657614850143,1.658160216707698
8,0.23164502,232.434893608441,1.6664158631813495,0.23729254,211.08695454027222,1.5614782229923228,0.21957359,204.14850793438393,1.5060083482056974,0.23337832,192.71771322472281,1.4403761232571923,0.24004285,178.8756347888359,1.5815787950166669,0.23060553,172.070173199233,1.6925393881574184
